gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,label
1648494387510,0,0.99,0.4690823953565506,0.5350961098076468,none
1648494387510,0,0.5688906106437269,0.4586248439399353,0.4743141695086342,none
1648494387520,0,0.5699480664645901,0.4701135578899713,0.4946693721214851,none
1648494387525,0,0.8030740730830539,0.4695228195896228,0.5835976429671554,none
1648494387525,0,0.8516013138362277,0.4664269184733925,0.5853358127986831,none
1648494387530,0,0.8611856811114658,0.4657883088416172,0.5855579171476828,none
1648494387535,0,0.8547321968146671,0.4661130934587481,0.5882356090104807,none
1648494387540,1,0.8476459980010986,0.4668839381807003,0.5878574578156672,none
1648494387540,1,0.856992095708847,0.467600033480929,0.5895065274596636,none
1648494387545,1,0.8580364882946014,0.469396708122607,0.5878605622643919,none
1648494387550,1,0.8285129368305206,0.4695726361218377,0.589184536609117,none
1648494387555,1,0.7664152979850769,0.469895467012081,0.5895556935155525,none
1648494387555,1,0.8344980180263519,0.4698387919265947,0.5920151741498765,none
1648494387565,1,0.8378674685955048,0.469786447857477,0.5921288137884684,none
1648494387570,1,0.817241758108139,0.4681110933682497,0.5924505542114804,none
1648494387575,1,0.8613801896572113,0.470116517710209,0.5883720150297354,none
1648494387580,1,0.8630000948905945,0.4707573679957012,0.5909573956285239,none
1648494387585,2,0.8023135960102081,0.4711187413779937,0.5896696300836803,none
1648494387585,2,0.8317113220691681,0.4709288924980459,0.5915092754712827,none
1648494387590,2,0.56933617798499,0.464869574681749,0.4838989285099954,none
1648494387595,2,0.8828760042326164,0.4720136299357576,0.5885539738726631,none
1648494387600,2,0.8711233987943839,0.4715332854095287,0.5873513153286991,none
1648494387605,2,0.8672411694662284,0.4695577930964478,0.5847501818333878,none
1648494387605,3,0.8447568714618683,0.4693897668285037,0.5850155267754279,none
1648494387610,3,0.8158772885799408,0.4698867910376315,0.5821706952365757,none
1648494387615,3,0.8216554522514343,0.4697608090388724,0.582378686355218,none
1648494387615,3,0.8413659632205963,0.4705153704274096,0.5821867865452446,none
1648494387620,3,0.8700360059738159,0.470006224393632,0.5820521781257019,none
1648494387625,3,0.5539223295418672,0.4722431456735764,0.4903186545046227,none
1648494387630,3,0.8889628067946802,0.4715268860659802,0.5778987203691675,none
1648494387635,3,0.8959731772876154,0.4712940481243369,0.5773889960103649,none
1648494387640,4,0.8272835627532373,0.4710311370401838,0.5768907071562062,none
1648494387640,4,0.7755157649517059,0.4713855628033078,0.5776865203223172,none
1648494387645,4,0.8093076944351196,0.4717001405119564,0.5761591519053149,none
1648494387650,4,0.5609928331794228,0.4703714458768288,0.4865261506034176,none
1648494387655,4,0.8403233684961431,0.4715700561718883,0.5776622430240919,none
1648494387660,4,0.8477377988760106,0.4711117697841939,0.576250613219063,none
1648494387665,4,0.8381732501451604,0.4709266545802926,0.5752277012655868,none
1648494387670,5,0.8468137160216935,0.4715700067984815,0.5710616577228693,none
1648494387670,5,0.892789900302887,0.468446851170118,0.5453877643253431,none
1648494387675,5,0.5613633436168962,0.468337511641696,0.4824880603909887,none
1648494387685,5,0.8443398967424187,0.4742466266119014,0.5632599109223118,none
1648494387685,5,0.8408555880227837,0.4738935821040404,0.5628015442376624,none
1648494387690,5,0.848591317240313,0.4727004177024707,0.5621012412219675,none
1648494387695,5,0.8342011868953705,0.4727046403610385,0.5648301316627726,none
1648494387695,5,0.8436839861191026,0.4730457447779433,0.5618970399943308,none
1648494387700,5,0.7901475710190049,0.4734352034213129,0.5610530560023068,none
1648494387705,6,0.8067682981491089,0.4666570244583085,0.552514595203259,none
1648494387710,6,0.8603508472442627,0.4645428284205214,0.5508295856006216,none
1648494387715,6,0.8383029401302338,0.4643504372491933,0.5525605510068206,none
1648494387720,6,0.8111708760261536,0.4634610695649013,0.5504901552412298,none
1648494387725,6,0.5420447717440537,0.4663917154875645,0.4846629118011811,none
1648494387725,6,0.8112905665529889,0.4633732757186559,0.5501999787511863,none
1648494387730,6,0.8608419939173383,0.4617367397888653,0.5486471691182114,none
1648494387735,7,0.7942347272528333,0.460788365243801,0.5470443275543391,none
1648494387740,7,0.849516723979823,0.4599566216072602,0.547256249736471,none
1648494387740,7,0.8599449098110199,0.4632960049969976,0.5439836318225642,none
1648494387745,7,0.8641183078289032,0.4620410576498581,0.5426967771923233,none
1648494387750,7,0.8401035666465759,0.462243449777081,0.5430231268095314,none
1648494387755,7,0.8571767508983612,0.4612923339084468,0.5421247776318197,none
1648494387755,7,0.8886664509773254,0.4632822299777919,0.5349541062361766,none
1648494387760,7,0.892950028181076,0.4612382163082454,0.5335558741452961,none
1648494387765,7,0.8759028017520905,0.4614989948924665,0.5349085566077209,none
1648494387770,8,0.8829465504129371,0.4618754088199111,0.5341776016676096,none
1648494387775,8,0.855254798694416,0.4616560789274448,0.5330505500689693,none
1648494387775,8,0.8478844161470375,0.4612010666368167,0.5330568629657029,none
1648494387780,8,0.8265799283981323,0.4615291838723041,0.532941794018913,none
1648494387785,8,0.8201705813407898,0.4614837176049622,0.533850627626607,none
1648494387790,8,0.8512858748435974,0.4619560823821071,0.5309142349558197,none
1648494387795,8,0.8226374983787537,0.4617690205699951,0.5329792761307974,none
1648494387795,8,0.8728722631931305,0.4615442595661326,0.5322340657222407,none
1648494387800,8,0.7889143824577332,0.4609473561360285,0.5308435261847158,none
1648494387805,9,0.8093101680278778,0.4589263978262269,0.5343731759088857,none
1648494387810,9,0.8835469484329224,0.4585870274696953,0.5334044926468907,none
1648494387815,9,0.8603322803974152,0.4586862418460947,0.5345801845980154,none
