subj,level,trial,fxtn_count,avg_fxtn_duration,total_fxtn_dur,std_fxtn_dur,total_sacc_dur,avg_sacc_dur,max_sacc_amplitude,min_sacc_amplitude,avg_sacc_amplitude,std_sacc_amplitude
P01,PHY,abs,1,6.0,6,0.0,0,0.0,0.0,0.0,0.0,0.0
P01,PHY,figs,0,,0,,0,,,,,
P01,PHY,intro,7,9.857142857000001,69,5.026460596000001,0,0.0,244.217093,0.0,68.80896271,75.56459319
P01,PHY,methodology,17,6.058823529,103,3.87253661,2,0.117647059,310.296514,0.0,82.49371129,74.97910607
P01,PHY,none,4,2.6666666666666665,9,0.0,0,0.0,351.477252,0.0,58.579542000000004,58.579542000000004
P01,PHY,title,1,9.0,9,0.0,0,0.0,0.0,0.0,0.0,0.0
P01,WDILL,abs,4,4.5,18,2.5,0,0.0,144.163647,0.0,81.97305125,63.43167347
P01,WDILL,figs,16,4.025641026000001,58,2.0601124185,2,0.205128205,392.48467999999997,0.0,116.87922329999998,94.46405571
P01,WDILL,intro,14,4.104166666499999,56,2.0554264255000003,1,0.0625,144.297473,0.0,42.01482746,36.50856471
P01,WDILL,methodology,41,2.1375,93,1.0061529455,0,0.0,421.155739,0.0,66.11227765000001,43.57483293
