subj,level,trial,order,LHIPA,pavg,pcpd
P03,PHY,title,8,32.0,1.8446599999999997,-8.466871944
P03,WDILL,abs,2,13.063830000000001,1.3287200000000001,-10.09272081
P03,WDILL,abs,21,13.5,0.933718,-7.906455696
P03,WDILL,abs,31,13.64,0.801581,2.755429582
P03,WDILL,figs,13,9.296296,1.2418959999999999,-1.866017766
P03,WDILL,figs,17,36.0,1.167568,2.388897263
P03,WDILL,figs,37,23.090909,0.8205819999999999,2.189177925
P03,WDILL,figs,40,22.4,0.666234,16.9662611
P03,WDILL,intro,4,25.0,1.035505,1.8213335519999998
P03,WDILL,intro,7,31.0,1.069814,2.606808286
P03,WDILL,intro,11,24.714285999999998,1.2358049999999998,-0.7714000190000001
P03,WDILL,intro,23,6.820513,0.852941,-5.925263295
P03,WDILL,methodology,6,41.0,1.098063,0.0
P03,WDILL,methodology,15,25.545455,1.108236,4.691148817
P03,WDILL,methodology,19,13.795454999999999,1.294368,-21.67289364
P03,WDILL,methodology,25,25.3,0.816524,-2.678059677
P03,WDILL,methodology,29,25.0,0.773423,4.01151763
P03,WDILL,methodology,35,27.0,0.9448549999999999,-2.33231554
P03,WDILL,methodology,39,13.236842000000001,0.8000520000000001,-3.56676816
P03,WDILL,methodology,42,13.454545000000001,0.778347,-3.458226215
P03,WDILL,none,1,20.727273,1.666048,-9.261077712
P03,WDILL,none,3,0.0,0.45511999999999997,0.0
P03,WDILL,none,5,0.0,2.673652,0.0
P03,WDILL,none,8,30.0,1.1452120000000001,-1.946364516
P03,WDILL,none,10,16.625,1.0475219999999998,19.74517003
P03,WDILL,none,12,0.0,1.402616,0.0
P03,WDILL,none,14,0.0,1.602596,0.0
P03,WDILL,none,16,0.0,1.395753,0.0
P03,WDILL,none,18,20.0,1.311639,-0.483822149
P03,WDILL,none,20,0.0,0.42526400000000003,0.0
P03,WDILL,none,22,0.0,1.057243,0.0
P03,WDILL,none,24,0.0,0.708863,0.0
P03,WDILL,none,26,0.0,1.524499,0.0
P03,WDILL,none,28,0.0,1.163231,0.0
P03,WDILL,none,30,0.0,1.049142,0.0
P03,WDILL,none,32,0.0,0.9736469999999999,0.0
P03,WDILL,none,34,0.0,0.9233969999999999,0.0
P03,WDILL,none,36,0.0,-0.093097,0.0
P03,WDILL,none,38,0.0,1.340633,0.0
P03,WDILL,none,41,38.0,0.777354,0.0
P03,WDILL,none,43,0.0,0.753051,0.0
P03,WDILL,none,45,11.733333,0.743092,26.60343538
P03,WDILL,title,9,52.666667000000004,1.154614,-3.481163402
P03,WDILL,title,27,35.333333,0.7776649999999999,1.3838863780000001
P03,WDILL,title,33,32.0,0.9104120000000001,-8.724401699
P03,WDILL,title,44,44.333333,0.771203,-4.9405928139999995
P04,WDILL,abs,4,12.181818,1.9557779999999998,3.1323596030000003
P04,WDILL,abs,23,6.0896550000000005,2.5488720000000002,-4.972944895
P04,WDILL,figs,10,21.636364,1.996816,3.4677206110000003
P04,WDILL,figs,14,21.5,2.113356,2.925252537
P04,WDILL,figs,17,13.214285999999998,2.216782,-1.37140233
P04,WDILL,figs,21,38.0,2.356231,2.80142312
P04,WDILL,figs,25,24.8,2.315562,4.793307197
P04,WDILL,intro,6,6.164835,2.027232,0.37208370799999996
P04,WDILL,methodology,8,12.55,2.277062,-3.414970695
P04,WDILL,methodology,12,6.275862,2.1873560000000003,-3.033936863
P04,WDILL,methodology,16,24.5,2.081969,0.23223208399999998
P04,WDILL,methodology,19,5.907692,2.304273,-10.27269772
P04,WDILL,none,1,31.75,2.25468,-2.723002821
P04,WDILL,none,3,12.666667,1.583565,8.597563093
P04,WDILL,none,5,21.2,2.058495,3.5730472989999997
P04,WDILL,none,7,39.0,2.156412,-0.963081266
P04,WDILL,none,9,0.0,2.4344900000000003,0.0
P04,WDILL,none,11,23.6,2.323096,0.630236546
P04,WDILL,none,13,0.0,1.5246620000000002,0.0
P04,WDILL,none,15,0.0,2.465241,0.0
P04,WDILL,none,18,0.0,2.985464,0.0
P04,WDILL,none,20,35.5,2.1489849999999997,1.3963801519999999
P04,WDILL,none,22,21.0,2.336738,8.297293064
P04,WDILL,none,24,0.0,2.025652,0.0
P04,WDILL,none,26,12.789474,2.429598,-0.92957765
P04,WDILL,title,2,12.769231,1.9751490000000003,-12.30934983
P05,PHY,abs,3,13.186047,1.566252,-4.335317688
P05,PHY,abs,16,12.5,1.5203309999999999,-4.70272592
P05,PHY,figs,8,17.4,1.585618,-8.600873603
P05,PHY,figs,12,58.0,1.3441290000000001,0.0
P05,PHY,intro,5,6.177778,1.514543,-8.471070151000001
P05,PHY,methodology,6,6.057691999999999,1.355834,1.43306629
P05,PHY,methodology,10,12.266667,1.405275,-2.0989486040000003
P05,PHY,methodology,14,6.264705999999999,1.3511090000000001,3.0978995769999997
P05,PHY,none,1,11.666667,1.812189,0.833411968
P05,PHY,none,4,36.0,1.488038,4.249017834
P05,PHY,none,7,0.0,1.482887,0.0
P05,PHY,none,9,0.0,1.572064,0.0
P05,PHY,none,11,0.0,-0.121821,0.0
P05,PHY,none,13,0.0,3.00693,0.0
P05,PHY,none,15,46.5,1.551305,0.066524636
P05,PHY,none,17,12.315789,1.5721690000000001,13.21530955
P05,PHY,title,2,19.4,1.6571220000000002,-4.2721658389999995
P05,WDILL,abs,2,7.810345,1.4513690000000001,-8.506933798
P05,WDILL,figs,7,11.045455,1.452358,-4.056093608
P05,WDILL,figs,11,12.878049,1.583499,-11.29587073
P05,WDILL,figs,15,58.0,1.572056,0.0
P05,WDILL,intro,3,5.093168,1.214089,15.2679087
P05,WDILL,methodology,5,10.658536999999999,1.561996,-9.858988115
P05,WDILL,methodology,9,5.3228349999999995,1.361022,-0.428648472
P05,WDILL,methodology,13,6.135593,1.326646,5.324630685
P05,WDILL,none,1,14.5,2.0803540000000003,-12.76604847
P05,WDILL,none,4,34.5,1.35659,4.742110734
P05,WDILL,none,6,0.0,1.715739,0.0
P05,WDILL,none,8,0.0,1.356943,0.0
P05,WDILL,none,10,52.0,1.36358,0.0
P05,WDILL,none,12,0.0,1.231859,0.0
P05,WDILL,none,14,38.0,1.6196979999999999,0.0
P05,WDILL,none,16,24.0,1.765454,12.18445794
P06,PHY,abs,4,11.518519,1.515181,1.007074402
P06,PHY,abs,16,22.9,1.615626,-5.177373971000001
P06,PHY,figs,10,11.565217,1.551366,-1.240390727
P06,PHY,intro,6,6.042553,1.483479,0.08399175199999999
P06,PHY,methodology,8,12.244898,1.430142,3.4501469080000002
P06,PHY,methodology,12,12.234043,1.486528,3.2232154389999996
P06,PHY,none,1,23.285714000000002,1.775873,0.146012693
P06,PHY,none,3,0.0,0.981814,0.0
P06,PHY,none,5,0.0,1.537312,0.0
P06,PHY,none,7,48.5,1.504464,1.130701698
